month,year,avg_debit
5,1926,4.452784677419354E-5
6,1926,3.574110833333333E-5
7,1926,5.504516129032259E-6
8,1926,2.7681693548387096E-6
9,1926,2.3309916666666664E-6
10,1926,4.992008064516129E-6
11,1926,2.2429125000000007E-5
12,1926,1.3889435483870968E-5
1,1927,2.303366451612903E-5
2,1927,1.721292142857143E-5
3,1927,5.7791329032258074E-5
4,1927,2.9079240000000004E-5
5,1927,1.4540309677419355E-5
6,1927,7.507760000000002E-6
7,1927,3.486136129032258E-5
8,1927,1.8072935483870966E-5
9,1927,2.1307320000000003E-5
10,1927,1.1392361290322584E-5
11,1927,1.8744666666666667E-5
12,1927,1.8635006451612906E-5
1,1928,2.4092606451612902E-5
2,1928,4.6176924137931036E-5
3,1928,2.2316090322580644E-5
4,1928,4.600883333333333E-5
5,1928,3.825469677419355E-5
6,1928,1.50351E-5
7,1928,3.0691999999999998E-6
8,1928,1.9810322580645165E-6
9,1928,2.737686666666666E-6
10,1928,7.424109677419352E-6
11,1928,3.511271333333334E-5
12,1928,2.5513270967741935E-5
1,1929,2.2076270967741934E-5
2,1929,1.8370857142857144E-5
3,1929,1.1836987096774193E-5
4,1929,9.10260666666667E-6
5,1929,2.2574625806451616E-5
6,1929,1.6313433333333332E-5
7,1929,9.102083870967741E-6
8,1929,4.049187096774194E-6
9,1929,2.3283866666666663E-6
10,1929,1.2169116129032258E-5
11,1929,2.2466560000000003E-5
12,1929,3.6667322580645165E-5
1,1930,4.245589032258063E-5
2,1930,1.8541257142857142E-5
3,1930,4.4348464516129036E-5
4,1930,2.720028666666667E-5
5,1930,2.257376129032258E-5
6,1930,4.452168E-5
7,1930,2.2104729032258065E-5
8,1930,1.1010038709677417E-5
9,1930,6.832413333333334E-6
10,1930,3.975765806451612E-5
11,1930,5.2761879999999986E-5
12,1930,2.8711503225806447E-5
1,1931,4.246172580645161E-5
2,1931,4.145477976190476E-5
3,1931,5.2105897849462364E-5
4,1931,1.682667222222222E-5
5,1931,3.036504301075269E-5
6,1931,8.714144444444444E-6
7,1931,8.973236559139783E-6
8,1931,1.2528440860215051E-5
9,1931,1.569028888888889E-5
10,1931,7.755956989247312E-6
11,1931,2.7615355555555554E-5
12,1931,1.8334112903225805E-5
1,1932,2.3093E-5
2,1932,6.83981609195402E-6
3,1932,1.3017166666666668E-5
4,1932,5.206759444444445E-5
5,1932,4.025200000000001E-5
6,1932,3.127378888888888E-5
7,1932,1.5239698924731183E-5
8,1932,5.3376451612903216E-6
9,1932,8.842977777777779E-6
10,1932,2.2864263440860208E-5
11,1932,1.6778394444444447E-5
12,1932,2.954736559139785E-5
1,1933,9.84141935483871E-6
2,1933,2.3558955357142856E-5
3,1933,2.8322286290322582E-5
4,1933,7.879320833333333E-6
5,1933,1.3239931451612905E-5
6,1933,1.598849583333334E-5
7,1933,6.453387096774192E-6
8,1933,1.6053588709677417E-6
9,1933,4.555441666666666E-6
10,1933,1.573965725806452E-5
11,1933,2.4090195833333336E-5
12,1933,1.0852004032258065E-5
1,1934,3.286835483870968E-5
2,1934,1.324273015873016E-5
3,1934,5.618124372759858E-5
4,1934,3.743104444444444E-5
5,1934,1.9454175627240138E-5
6,1934,6.2748740740740735E-6
7,1934,3.7469068100358418E-6
8,1934,7.679548387096774E-6
9,1934,3.802103703703703E-6
10,1934,8.198921146953407E-6
11,1934,2.0379555555555558E-5
12,1934,3.937705017921146E-5
1,1935,3.110201075268818E-5
2,1935,5.4475111111111105E-5
3,1935,4.8818035842293915E-5
4,1935,5.026095185185185E-5
5,1935,2.316972043010753E-5
6,1935,1.9160107407407407E-5
7,1935,3.9925304659498214E-6
8,1935,5.1671792114695344E-6
9,1935,7.357433333333333E-6
10,1935,2.7845483870967737E-5
11,1935,4.509598148148148E-5
12,1935,7.941986379928315E-5
1,1936,6.70919569892473E-5
2,1936,5.893321455938698E-5
3,1936,2.2431437275985663E-5
4,1936,3.2781500000000005E-5
5,1936,2.266594623655914E-5
6,1936,2.051502962962963E-5
7,1936,2.3423845878136204E-5
8,1936,1.662441935483871E-5
9,1936,8.842681481481482E-6
10,1936,6.899888888888888E-6
11,1936,2.391594074074074E-5
12,1936,1.5691218637992828E-5
1,1937,2.081357706093189E-5
2,1937,6.925848412698411E-5
3,1937,6.919595340501793E-5
4,1937,4.373233333333333E-5
5,1937,2.3814426523297498E-5
6,1937,1.1564522222222222E-5
7,1937,4.377985663082437E-6
8,1937,2.389566308243727E-6
9,1937,8.568251851851853E-6
10,1937,1.1409491039426523E-5
11,1937,1.702067777777778E-5
12,1937,3.7237114695340495E-5
1,1938,3.406848064516129E-5
2,1938,2.6488949999999996E-5
3,1938,1.3472455197132618E-5
4,1938,5.367666666666666E-6
5,1938,7.307012903225807E-6
6,1938,6.298573333333334E-6
7,1938,9.122332258064518E-6
8,1938,5.683854838709679E-6
9,1938,7.0113266666666675E-6
10,1938,1.1764829032258063E-5
11,1938,1.6713873333333335E-5
12,1938,2.2146312903225816E-5
1,1939,5.6076603225806454E-5
2,1939,2.457058214285714E-5
3,1939,3.0203067741935486E-5
4,1939,3.364305333333333E-5
5,1939,2.923209677419355E-5
6,1939,1.0070753333333331E-5
7,1939,9.373364516129034E-6
8,1939,7.14605806451613E-6
9,1939,5.863936666666668E-6
10,1939,2.079186129032258E-5
11,1939,4.889035333333333E-5
12,1939,3.255233548387096E-5
1,1940,1.8324329032258063E-5
2,1940,4.0628896551724135E-5
3,1940,2.2723783870967738E-5
4,1940,3.595364666666666E-5
5,1940,4.150720322580646E-5
6,1940,1.4051326666666664E-5
7,1940,1.4768254838709681E-5
8,1940,3.931851612903224E-6
9,1940,1.321539666666667E-5
10,1940,1.6076464516129033E-5
11,1940,3.2293683333333335E-5
12,1940,3.957842580645161E-5
1,1941,5.7734829032258065E-5
2,1941,5.527312142857142E-5
3,1941,3.9191403225806455E-5
4,1941,3.2768226666666666E-5
5,1941,2.4647709677419356E-5
6,1941,2.6640603333333325E-5
7,1941,5.295693548387096E-6
8,1941,1.0204432258064516E-5
9,1941,4.809953333333333E-6
10,1941,4.973009677419354E-6
11,1941,1.815262333333333E-5
12,1941,1.3925119354838709E-5
1,1942,1.7799016129032256E-5
2,1942,2.322291428571429E-5
3,1942,5.272435483870968E-5
4,1942,1.6994489999999997E-5
5,1942,9.31423548387097E-6
6,1942,1.060611E-5
7,1942,3.7453516129032255E-6
8,1942,2.249506451612903E-6
9,1942,4.885956666666669E-6
10,1942,7.383948387096776E-6
11,1942,1.3936856666666665E-5
12,1942,9.336964516129032E-6
1,1943,3.972353870967742E-5
2,1943,2.6501139285714282E-5
3,1943,1.022098064516129E-5
4,1943,8.750386666666668E-6
5,1943,8.20093870967742E-6
6,1943,6.15898E-6
7,1943,4.274561290322581E-6
8,1943,1.9731225806451604E-6
