month,year,sum_debit
10,1947,329.49600000000004
11,1947,3098.9689999999996
12,1947,5488.839000000001
1,1948,26577.497
2,1948,14920.844000000001
3,1948,8825.689
4,1948,14240.900999999998
5,1948,25842.47000000001
6,1948,21428.461000000003
7,1948,12811.955999999996
8,1948,12037.650999999998
9,1948,10840.583000000002
10,1948,4929.313000000002
11,1948,6332.34
12,1948,5692.1590000000015
1,1949,8078.9079999999985
2,1949,4212.715
3,1949,7503.023999999999
4,1949,7164.339
5,1949,11729.221000000005
6,1949,10680.657
7,1949,5508.548999999997
8,1949,4249.334000000001
9,1949,3877.389000000003
10,1949,4120.909000000001
11,1949,11702.786
12,1949,13344.937999999995
1,1950,7383.85
2,1950,20256.872999999996
3,1950,10778.150000000001
4,1950,13871.551000000003
5,1950,17167.249
6,1950,13257.686
7,1950,7211.0080000000025
8,1950,5661.671000000001
9,1950,6098.156000000003
10,1950,4863.843000000002
11,1950,27981.715000000004
12,1950,15962.787
1,1951,21690.754000000004
2,1951,24848.553000000007
3,1951,39111.631
4,1951,25603.320000000003
5,1951,32084.403999999995
6,1951,40977.17600000002
7,1951,22008.304
8,1951,14754.398
9,1951,9475.788
10,1951,7194.847
11,1951,35785.477000000006
12,1951,13926.715999999997
1,1952,22356.114000000012
2,1952,15472.742000000002
3,1952,26048.566
4,1952,23972.388
5,1952,21874.174
6,1952,15832.379999999997
7,1952,9211.238999999994
8,1952,7126.49
9,1952,7617.752999999998
10,1952,22905.853999999992
11,1952,32038.627
12,1952,35696.21799999999
1,1953,12106.707999999995
2,1953,10599.402000000002
3,1953,12835.733
4,1953,14157.400000000003
5,1953,14538.969
6,1953,17342.308999999994
7,1953,14202.569999999996
8,1953,7380.616
9,1953,8437.843
10,1953,15829.499999999998
11,1953,9536.393
12,1953,9998.836000000003
1,1954,10268.415000000005
2,1954,14450.579999999998
3,1954,25453.09
4,1954,18348.127
5,1954,18913.097999999998
6,1954,15350.072000000004
7,1954,10241.787
8,1954,17063.961000000003
9,1954,11850.418000000001
10,1954,9873.161000000004
11,1954,11039.434
12,1954,24705.52999999999
1,1955,49985.532
2,1955,36189.70900000001
3,1955,17356.570000000003
4,1955,16295.825
5,1955,22787.084000000003
6,1955,30254.375999999997
7,1955,19334.033999999996
8,1955,10008.372999999998
9,1955,8655.736999999997
10,1955,7807.612
11,1955,8050.967999999997
12,1955,14866.742999999999
1,1956,19074.615000000005
2,1956,9933.841999999997
3,1956,16950.163
4,1956,18734.762000000002
5,1956,22431.505999999994
6,1956,20635.577
7,1956,18099.243000000002
8,1956,16106.092999999999
9,1956,19163.954000000005
10,1956,13215.496999999996
11,1956,12105.832
12,1956,10888.450999999997
1,1957,12925.751999999997
2,1957,39891.39800000001
3,1957,20773.841
4,1957,14038.753000000004
5,1957,13886.082999999999
6,1957,31940.681000000004
7,1957,15200.073999999997
8,1957,9436.291999999998
9,1957,7511.950999999999
10,1957,5804.243999999999
11,1957,8205.673999999999
12,1957,12256.500999999998
1,1958,21799.625000000004
2,1958,24046.941
3,1958,24437.363
4,1958,23415.623
5,1958,30789.051000000007
6,1958,23066.441000000006
7,1958,20424.762000000002
8,1958,12758.084999999997
9,1958,9853.418
10,1958,16200.414999999997
11,1958,16610.6
12,1958,28835.625000000007
1,1959,28510.991000000005
2,1959,11949.450999999997
3,1959,21734.270000000004
4,1959,24548.458000000002
5,1959,28724.859
6,1959,23440.824
7,1959,14551.246000000003
8,1959,9450.241
9,1959,8096.361999999997
10,1959,11639.268
11,1959,13435.675000000005
12,1959,38313.125
1,1960,33717.689000000006
2,1960,28404.51699999999
3,1960,34834.573000000004
4,1960,22734.227000000006
5,1960,36425.00399999997
6,1960,35690.19600000001
7,1960,21826.949000000008
8,1960,22874.726000000002
9,1960,25892.871000000006
10,1960,59897.324
11,1960,42423.589
12,1960,24950.213999999993
1,1961,30270.058000000005
2,1961,34218.024000000005
3,1961,20818.946000000004
4,1961,26705.214999999997
5,1961,28999.008000000013
6,1961,35402.611000000004
7,1961,27987.518000000004
8,1961,16859.378999999997
9,1961,10640.525999999998
10,1961,15512.627999999999
11,1961,20789.961000000007
12,1961,33782.701
1,1962,38471.07500000001
2,1962,17748.13399999999
3,1962,27694.181000000004
4,1962,44380.55500000001
5,1962,40497.397
6,1962,36499.559
7,1962,19463.963
8,1962,13020.518999999998
9,1962,9792.427999999993
10,1962,7404.578000000002
11,1962,16511.716999999997
12,1962,20291.426000000003
1,1963,22455.149999999994
2,1963,14156.017
3,1963,41375.873
4,1963,48690.18899999999
5,1963,41632.789
6,1963,55217.18699999998
7,1963,30884.95800000001
8,1963,31848.539999999997
9,1963,24302.442999999996
10,1963,16831.924000000003
11,1963,53345.153
12,1963,21991.84400000001
1,1964,17816.48100000001
2,1964,19369.107
3,1964,39325.626000000004
4,1964,43521.06099999999
5,1964,47324.656
6,1964,34804.633
7,1964,19508.163999999997
8,1964,15031.288999999997
9,1964,13912.269000000002
10,1964,21385.227999999992
11,1964,15744.474000000002
12,1964,14048.824999999999
1,1965,24059.65299999999
2,1965,17214.2
3,1965,35277.25600000001
4,1965,27859.836
5,1965,41868.78899999999
6,1965,35901.05
7,1965,25830.774
8,1965,18751.424000000014
9,1965,34457.985000000015
10,1965,29420.150999999998
11,1965,39734.719999999994
12,1965,63709.992
1,1966,65760.719
2,1966,57368.11800000001
3,1966,40374.652
4,1966,47186.15400000002
5,1966,64183.448000000026
6,1966,47873.93500000001
7,1966,30671.743000000002
8,1966,21863.155000000002
9,1966,14382.691999999997
10,1966,24897.49999999999
11,1966,35195.07399999999
12,1966,65363.701
1,1967,41815.133
2,1967,39078.50600000001
3,1967,47430.38000000001
4,1967,26796.034
5,1967,39967.666
6,1967,33948.843
7,1967,27475.451000000005
8,1967,19874.50999999999
9,1967,15169.097000000005
10,1967,13427.999999999996
11,1967,34709.67300000001
12,1967,28031.17700000001
1,1968,51001.763999999996
2,1968,39978.272
3,1968,29965.382000000005
4,1968,36072.53500000001
5,1968,52539.02900000001
6,1968,44370.132
7,1968,29577.463000000014
8,1968,32564.36000000001
9,1968,44570.39800000003
10,1968,31504.66200000002
11,1968,35397.95600000001
12,1968,38932.633
1,1969,67870.84100000001
2,1969,59569.46900000002
3,1969,83450.64000000001
4,1969,71179.029
5,1969,112402.70899999999
6,1969,83280.96999999997
7,1969,61230.501000000004
8,1969,41438.70400000002
9,1969,46870.48400000001
10,1969,30363.31500000001
11,1969,45214.199
12,1969,49882.00100000001
1,1970,77012.43400000002
2,1970,106171.39099999996
3,1970,74499.105
4,1970,94494.93
5,1970,88322.27099999998
6,1970,102042.763
7,1970,53969.179999999986
8,1970,34444.66000000002
9,1970,25661.889999999992
10,1970,36836.608
11,1970,39933.74699999999
12,1970,37580.072999999975
1,1971,48210.83999999998
2,1971,59004.59700000001
3,1971,58503.76700000002
4,1971,96154.75099999993
5,1971,92513.647
6,1971,96339.35499999995
7,1971,56781.59000000001
8,1971,37231.18600000002
9,1971,30818.758999999987
10,1971,21515.76000000001
11,1971,24875.22799999999
12,1971,26950.118000000002
1,1972,45120.531
2,1972,73966.16599999998
3,1972,65801.57400000001
