year,region,department,typology,avgTotalPower,sumTotalPower
2021,AUVERGNE RHONE ALPES,AIN,Agricole autonome,5.8712610000000005,29.356305000000003
2020,CENTRE VAL DE LOIRE,LOIR ET CHER,Agricole territorial,1.027,1.027
2019,CENTRE VAL DE LOIRE,CHER,Agricole autonome,7.204,7.204
2016,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,3.247,3.247
2018,BRETAGNE,FINISTERE,Agricole territorial,19.332,19.332
2021,OCCITANIE,HAUTE GARONNE,Installation de stockage des déchets non dangereux (ISDND),18.201044000000003,18.201044000000003
2020,GRAND EST,MOSELLE,Agricole autonome,8.188,8.188
2020,GRAND EST,MARNE,Agricole autonome,12.245999999999999,24.491999999999997
2021,PAYS DE LA LOIRE,SARTHE,Boues de stations d'épuration (STEP),7.690441,7.690441
2019,NOUVELLE AQUITAINE,DEUX SEVRES,Agricole territorial,0.703,0.703
2020,GRAND EST,BAS RHIN,Agricole autonome,2.0203333333333333,6.061
2017,HAUTS DE FRANCE,OISE,Agricole territorial,5.056,5.056
2018,ILE DE FRANCE,SEINE ET MARNE,Agricole autonome,13.519,108.152
2021,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Boues de stations d'épuration (STEP),8.415737,16.831474
2021,AUVERGNE RHONE ALPES,ISERE,Agricole territorial,15.348834,15.348834
2020,GRAND EST,MEURTHE ET MOSELLE,Agricole autonome,3.361,3.361
2021,BRETAGNE,FINISTERE,Agricole territorial,10.901145,21.80229
2019,GRAND EST,VOSGES,Agricole territorial,11.861,11.861
2021,GRAND EST,MEURTHE ET MOSELLE,Agricole territorial,14.983792999999999,29.967585999999997
2017,CENTRE VAL DE LOIRE,INDRE ET LOIRE,Boues de stations d'épuration (STEP),9.648,9.648
2016,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,6.52,6.52
2020,NOUVELLE AQUITAINE,VIENNE,Agricole autonome,8.342,8.342
2021,BOURGOGNE FRANCHE COMTE,HAUTE SAONE,Agricole territorial,14.094663,14.094663
2021,BOURGOGNE FRANCHE COMTE,DOUBS,Boues de stations d'épuration (STEP),6.607784,6.607784
2021,OCCITANIE,HAUTES PYRENEES,Agricole autonome,5.256267000000001,10.512534000000002
2021,NORMANDIE,ORNE,Agricole autonome,14.0034946,70.017473
2018,NOUVELLE AQUITAINE,GIRONDE,Agricole autonome,5.039,10.078
2020,AUVERGNE RHONE ALPES,AIN,Agricole autonome,3.856,3.856
2021,GRAND EST,MEURTHE ET MOSELLE,Agricole autonome,7.897182333333333,47.383094
2021,OCCITANIE,TARN,Agricole autonome,11.693239,23.386478
2019,BRETAGNE,FINISTERE,Agricole autonome,5.786,11.572
2020,BRETAGNE,MORBIHAN,Industriel territorial,19.962,19.962
2021,HAUTS DE FRANCE,PAS DE CALAIS,Agricole autonome,14.040195624999999,112.32156499999999
2021,GRAND EST,MEUSE,Agricole autonome,10.834910666666667,32.504732000000004
2017,BRETAGNE,FINISTERE,Agricole territorial,13.035,13.035
2016,HAUTS DE FRANCE,SOMME,Agricole territorial,0.356,0.356
2020,ILE DE FRANCE,YVELINES,Boues de stations d'épuration (STEP),5.693,11.386
2021,AUVERGNE RHONE ALPES,ARDECHE,Boues de stations d'épuration (STEP),0.097145,0.097145
2018,BRETAGNE,FINISTERE,Agricole autonome,2.264,2.264
2017,BRETAGNE,ILLE ET VILAINE,Agricole autonome,6.87,6.87
2021,NORMANDIE,CALVADOS,Agricole territorial,22.436511,22.436511
2021,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,Agricole autonome,2.949433,11.797732
2015,PAYS DE LA LOIRE,VENDEE,Agricole territorial,5.955,5.955
2020,NORMANDIE,CALVADOS,Agricole autonome,12.069,12.069
2017,HAUTS DE FRANCE,PAS DE CALAIS,Agricole autonome,10.925,10.925
2014,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,2.946,2.946
